,beneficiario,destino,exercicio,motivo,nEmpenho,periodo,situacaoEmpenho,unidadeOrcamentaria,valorTotalDiario
2993,PEDRO RAIMUNDO DE OLIVEIRA NETO,SALVADOR-BA,2016,"PARTICIPAR DO XVII ENCONTRO NACIONAL DE COMITES DE BACIAS HIDROGRAFICAS - ENCOB 2016, PROMOVIDO PELO FORUM NACIONAL DE COMITES DE BACIAS HIDROGRAFICAS - FNCBH.                                                                                                ",0279,02/07/2016 a 08/07/2016,Pago,28.101-SECRETARIA MUNICIPAL DO URBANISMO E MEIO AMBIENTE,"2.450,00"
2994,WELLINGTON DE SOUZA OLIVEIRA,GUAIUBA-CE,2016,"PARA REALIZAR VERIFICACOES EM MEDIDORES DE VELOCIDADE NOS MUNICIPIOS DE GUAIUBA, PINDORETAMA E BEBERIBE.                                                                                                                                                       ",0537,02/05/2016 a 04/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"312,51"
2995,JOAO BATISTA BEZERRA MELO,AQUIRAZ-CE,2016,"PAGAMENTO DE DIARIA AO SERVIDOR JOAO BATISTA BEZERRA DE MELO, PARA REALIZAR FISCALIZACAO EM CONOTACOGRAFOS, NO MUNICIPIO DE AQUIRAZ-CE. PROC460 2016, PCD. 59.2, 59.4                                                                                          ",0538,01/06/2016 a 01/06/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
2996,MANOEL ROCHA BALTAZAR,GUAIUBA-CE,2016,"PARA REALIZAR VERIFICACOES EM MEDIDORES DE VELOCIDADE NOS MUNICIPIOS DE GUAIUBA, PINDORETAMA E BEBERIBE. PARA REALIZAR VERIFICACOES EM MEDIDORES DE VELOCIDADE NOS MUNICIPIOS DE GUAIUBA, PINDORETAMA E BEBERIBE.                                              ",0539,02/05/2016 a 04/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"312,51"
2997,WELLINGTON DE SOUZA OLIVEIRA,MARANGUAPE-CE,2016,"PARA REALIZAR VERIFICACOES EM MEDIDORES DE VELOCIDADE NOS MUNICIPIOS DE GUAIUBA, PINDORETAMA E BEBERIBE. PARA REALIZAR VERIFICACOES EM MEDIDORES DE VELOCIDADE NOS MUNICIPIOS DE MARANGUAPE E HORIZONTE.                                                       ",0540,09/05/2016 a 10/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
2998,VALDECIRIO MENEZES DE QUEIROZ FILHO,BRASILIA-DF,2016,PARTICIPAR DE UMA REUNIAO COM O SECRETARIO NACIONAL DE PROGRAMAS DE DESENVOLVIMENTO DO TURISMO SR. EDSON TIBERIO                                                                                                                                               ,0091,25/04/2016 a 26/04/2016,Pago,30.101-SECRETARIA MUNICIPAL DO TURISMO DE FORTALEZA,"960,00"
2999,ESTEFANIO DE MELO SILVA,BRASILIA-DF,2016,PARTICIPAR DE REUNIAO DA DIRETORIA DO FORUM NACIONAL TAMBEM DA III CONFERENCIA NACIONAL LGBT E DA 12A CONFERENCIA NACIONAL DE DIREITOS HUMANOS.                                                                                                                ,0165,22/04/2016 a 29/04/2016,Pago,35.101-SECRETARIA MUNICIPAL DA CIDADANIA E DIREITOS HUMANOS,"3.840,00"
3000,MARCIA LUCE BARROS AIRES,BRASILIA-DF,2016,PARTICIPAR DA 4A CONFERENCIA NACIONAL DE POLITICAS PARA AS MULHERES.                                                                                                                                                                                           ,0169,09/05/2016 a 13/05/2016,Pago,35.101-SECRETARIA MUNICIPAL DA CIDADANIA E DIREITOS HUMANOS,"2.400,00"
3001,JOAO FERNANDO DE ABREU MENESCAL,BRASILIA-DF,2014,"PARTICIPAR DO SEMINARIO DE CAPACITACAO DE POLITICAS FIDUCIARIAS -  BID, NOS DIAS 27 A 29 DE OUTUBRO DE 2014, EM BRASILIA.                                                                                                                                      ",1357,27/10/2014 a 30/10/2014,Pago,27.101-SECRETARIA MUNICIPAL DE INFRAESTRUTURA,"1.920,00"
3002,CLEIDE GUEDES DE OLIVEIRA,QUIXADA-PB,2014,"REALIZAR FISCALIZACAO EM PRODUTOS COM CONFORMIDADEAVALIADA NOS MUNICIPIOS DE QUIXADA CE, QUIXERAMOBIM CE, BANABUIU CE, IBARETAMA CE, IBICUITINGA CE, MORADA NOVA CE E JAGUARETAMA CE.                                                                          ",0875,01/09/2014 a 12/09/2014,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS DE FORTALEZA,"2.114,16"
3003,MANUEL GENEFLIDES F HERCULANO,BRASILIA-DF,2016,PARTICIPAR DA III CONFERENCIA NACIONAL LGBT.                                                                                                                                                                                                                   ,0171,23/04/2016 a 27/04/2016,Pago,35.101-SECRETARIA MUNICIPAL DA CIDADANIA E DIREITOS HUMANOS,"2.400,00"
3004,KARLA DANIELLY DOS SANTOS DE SOUZA OLIVEIRA,SALVADOR-BA,2016,PARTICIPAR DO CURSO OFERTADO PELO BANCO MUNDIAL - BIRD.  CURSO GERENCIAMENTO FINANCEIRO E DESEMBOLSOS.                                                                                                                                                         ,0168,01/05/2016 a 04/05/2016,Pago,28.101-SECRETARIA MUNICIPAL DO URBANISMO E MEIO AMBIENTE,"1.920,00"
3005,ALENIO CARLOS NORONHA ALENCAR,RIO DE JANEIRO-RJ,2016,"PARA PARTICIPAR DE SEMINARIO INTERNACIONAL DE POLITICAS CULTURAIS, RIO DE JANEIRO, NO PERIODO DE 17 A 20 DE MAIO DE 2016.                                                                                                                                      ",0201,16/05/2016 a 20/05/2016,Pago,32.101-SECRETARIA MUNICIPAL DA CULTURA DE FORTALEZA,"2.400,00"
3006,JOSE LEITE JUCA FILHO,RECIFE-PE,2016,PARTICIPAR DO TRF 5O REGIAO.                                                                                                                                                                                                                                   ,0197,04/05/2016 a 05/05/2016,Pago,13.101-PROCURADORIA GERAL DO MUNICIPIO,"900,00"
3007,JOSE EDGLE MENEZES VITORIANO,CAUCAIA-CE,2016,"MEIAS DIARIAS PARA REALIZAR VISITAS AS RENOVADORAS DE PNEUS, NOS MUNICIPIOS DE CAUCAIA CE E MARACANAU CE.                                                                                                                                                      ",0297,11/04/2016 a 11/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"234,12"
3008,FRANCISCO ADAHIL MOREIRA,ALCANTARAS-CE,2016,"PAGAMENTO DE DESPESAS COM MEIAS DIARIAS AO SERVIDOR FRANCISCO ADAHIL MOREIRA, PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE ALCANTAAQ E MASSAPE-CE. PROC 2016 2016, PCD 34.1. 34.3, 34.5, 34.7, 34.9                 ",0298,01/03/2016 a 05/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"520,85"
3009,FRANCISCO ADAHIL MOREIRA,ALCANTARAS-CE,2016,"PAGAMENTO DE DESPESAS COM MEIAS DIARIAS AO SERVIDOR FRANCISCO ADAHIL MOREIRA, PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE ALCANTAAQ E MASSAPE-CE. PROC 2016 2016, PCD 34.11. 34.13, 34.15, 34.17, 34.19 E 34.21    ",0301,07/03/2016 a 12/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"625,02"
3010,JOSE EDGLE MENEZES VITORIANO,MARACANAU-CE,2016,"MEIAS DIARIAS PARA REALIZAR VISITAS AS RENOVADORAS DE PNEUS, NOS MUNICIPIOS DE CAUCAIA CE E MARACANAU CE.                                                                                                                                                      ",0303,16/03/2016 a 16/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"234,12"
3011,JOACY GADELHA CAVALCANTI,PACAJUS-CE,2016,"PAGAMENTO DAS DESPESAS COM DIARIAS TECNICAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIO DE PACAJUS CE.                                                                                                                 ",0314,18/04/2016 a 29/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3012,VILTON MUDESTO ARRUDA,ALCANTARAS-CE,2016,"PAGAMENTO DE DESPESAS COM MEIAS DIARIAS AO SERVIDOR VILTON MUDESTO ARRUDA, PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE ALCANTARAS E MASSAPE-CE. PROC 2016 2016, PCD 34.2, 34.4, 34.6, 34.8, 34.10                  ",0315,01/03/2016 a 05/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"520,85"
3013,JOSE VILEMAR CARNEIRO FILHO,BRASILIA-DF,2014,VIAGEM A BRASILIA PARA ACOMPANHAR O EXMO.SR.PREFEITO E PARTICIPAR DA REUNIAO COM O REPRESENTANTE NOBRASIL DO BANCO INTERAMERICANO-BID.                                                                                                                         ,0432,21/08/2014 a 22/08/2014,Pago,11.101-GABINETE DO PREFEITO,"700,00"
3014,VILTON MUDESTO ARRUDA,MASSAPE-CE,2016,"PAGAMENTO DE DESPESAS COM MEIAS DIARIAS AO SERVIDOR VILTON MUDESTO ARRUDA, PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE ALCANTARAS E MASSAPE-CE. PROC 2016 2016, PCD  34.24, 34.26, 34.28, 34.30, 34.32             ",0321,14/03/2016 a 18/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"520,85"
3015,JOAQUIM SAVIO VIEIRA DOS SANTOS,CAUCAIA-CE,2016,"MEIAS DIARIAS PARA REALIZAR FISCALIZACOES EM PRODUTOS COM CONFORMIDADE AVALIADA, NO MUNICIPIO DE CAUCAIA CE                                                                                                                                                    ",0322,11/03/2016 a 11/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
3016,PLINIO ROQUE DA CRUZ FILHO,JATI-CE,2016,"DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO, NOS MUNICIPIOS DE BREJO SANTOS CE, JATI CE, PENAFORTE CE E PORTEIRAS CE.                                                                                                        ",0329,18/04/2016 a 29/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3017,JOAQUIM SAVIO VIEIRA DOS SANTOS,CAUCAIA-CE,2016,"MEIAS DIARIAS PARA REALIZAR FISCALIZACOES EM PRODUTOS COM CONFORMIDADE AVALIADA, NO MUNICIPIO DE CAUCAIA CE.                                                                                                                                                   ",0330,15/03/2016 a 15/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
3018,FRANCISCO LOIOLA NETO,PARAMBU-CE,2016,PAGAMENTO DAS DESPESAS COM DIARIAS TECNICAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NO MUNICIPIO DE PARAMBU CE.                                                                                                                  ,0331,18/04/2016 a 29/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3019,JOAQUIM SAVIO VIEIRA DOS SANTOS,CAUCAIA-CE,2016,"MEIAS DIARIAS PARA REALIZAR FISCALIZACOES EM PRODUTOS COM CONFORMIDADE AVALIADA, NO MUNICIPIO DE CAUCAIA CE.                                                                                                                                                   ",0342,18/03/2016 a 18/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
3020,FRANCISCO ADAHIL MOREIRA,TIANGUA-CE,2016,"DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO, NOS MUNICIPIOS DE BREJO SANTOS CE, JATI CE, PENAFORTE CE E PORTEIRAS CE.                                                                                                        ",0343,04/04/2016 a 15/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3021,OBEDE GILSON DE LIMA OLIVEIRA,SAO GONCALO DO AMARANTE-CE,2016,"PAGAMENTO DE DESPESAS COM MEIAS DIARIAS AO SERVIDOR OBEDE GILSON DE LIMA OLIVEIRA, PARA REALIZAR VERIFICACOES EM MEDIDORES DE VELOCIDADE, NOS MUNICIPIOS DE SAO LUIS DO CURU, UMIRIM, MARANGUAPE, MARACANAU, SAO GONCALO DO AMARANTE, BOA VIAGEM, SOBRAL, FRECH",0347,17/02/2016 a 19/02/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"625,02"
3022,FRANCISCO ADAHIL MOREIRA,TIANGUA-CE,2016,"DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIO DE TIANGUA CE.                                                                                                                                                     ",0350,02/05/2016 a 13/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3023,VILTON MUDESTO ARRUDA,TIANGUA-CE,2016,"DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO, NO MUNICIPIO DE TIANGUA CE.                                                                                                                                                     ",0358,18/04/2016 a 29/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3024,DEBORA JAMAICA MACHADO BARROSO,BRASILIA-DF,2014,VIAGEM A BRASILIA PARA ACOMPANHAR O EXMO.SR.PREFEITO E PARTICIPAR DA REUNIAO COM O REPRESENTANTE NOBRASIL DO BANCO INTERAMERICANO-BID.                                                                                                                         ,0433,21/08/2014 a 22/08/2014,Pago,11.101-GABINETE DO PREFEITO,"700,00"
3025,JOAQUIM SAVIO VIEIRA DOS SANTOS,MARANGUAPE-CE,2016,"MEIAS DIARIAS PARA REALIZAR FISCALIZACOES EM PRODUTOS COM CONFORMIDADE AVALIADA, NO MUNICIPIO DE CAUCAIA CE.                                                                                                                                                   ",0360,21/03/2016 a 21/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
3026,FERNANDO ROSSAS FREIRE,RIO DE JANEIRO-RJ,2016,"PAGAMENTO DE DIARIAS DE DESLOCAMENTO BEM COMO CONCEDER PASSAGENS DE IDA E VOLTA, TRECHO FORTALEZA RIO DE JANEIRO FORTALEZA, PARA O SERVIDOR FERNANDO ROSSAS FREIRE, PARTICIPAR DE REUNIAO SETORIAL NA SEDE DO INMETRO RJ. PROC 222 2016, PCD 36.1              ",0363,07/03/2016 a 07/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.473,05"
3027,MARIA AGUEDA PONTES CAMINHA MUNIZ,RIO DE JANEIRO-RJ,2016,DIARIAS PARA A SERVIDORA MARIA AGUEDA PONTES CAMINHA MUNIZ PARA RIO DE JANEIRO COM O OBJETIVO DE PARTICIPAR DO 1O WORSHOP DE ACELERACAO DA CE 100 NO DIA 12 05 2016.                                                                                           ,0037,11/05/2016 a 12/05/2016,Pago,28.901-FUNDO DE DEFESA DO MEIO AMBIENTE,"1.100,00"
3028,CLAUDIO RICARDO GOMES DE LIMA,MONTIVIDEU-EX,2016,"VALOR ESTIPULADO REFERENTE A METADE DO VALOR DAS DIARIAS (AJUDA DE CUSTO), PARA O SR. SECRETARIO CLAUDIO RICARDO GOMES DE LIMA PARTICIPAR DO III ENCONTRO IBERO AMERICANO NO PERIODO DE 14 06 16 A 16 06 2016 EM MONTEVIDEU - URUGUAI                          ",0256,13/06/2016 a 16/06/2016,Pago,"31.101-SECRETARIA MUNICIPAL DO TRABALHO, DESENVOLVIMENTO SOCIAL E COMBATE A FOME","2.824,00"
3029,FRANCISCO ASSUNCAO E SILVA,BRASILIA-DF,2016,"ACOMPANHAR O SECRETARIO, SR. JURANDIR GURGEL GONDIM FILHO E PARTICIPAR DE REUNIAO NA SEDE DA ABRSF E NA SEDE DA STN.                                                                                                                                           ",0192,18/05/2016 a 19/05/2016,Pago,23.901-FUNDO DE INVESTIMENTO E DESENVOLVIMENTO DE ATIVIDADES DA ADMINISTRACAO FAZENDARIA,"1.100,00"
3030,JOSE LEITE JUCA FILHO,RECIFE-PE,2016,OBJETIVO DE REALIZAR VISITA AO TRF 5O REGIAO EM RECIFE.                                                                                                                                                                                                        ,0238,23/05/2016 a 24/05/2016,Pago,13.101-PROCURADORIA GERAL DO MUNICIPIO,"900,00"
3031,JOSE WILLIAM MELO FILHO,MARACANAU-CE,2016,"PAGAMENTO DE MEIAS DIARIAS AO SERVIDOR JOSE WILLIAM MELO FILHO, PARA REALIZAR FISCALIZACOES EM PRODUTOS COM CONFORMIDADE AVALIADA, NO MUNICIPIO DE MARACANAU-CE, PROC. 220 2016, PCD 50.1, 50.3, 50.5, 50.7, 50.9                                              ",0400,07/03/2016 a 11/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"520,85"
3032,JOSE NAIRTON MACEDO COSTA,GRANJEIRO-CE,2016,"DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE CEDRO CE, GRANJEIRO CE E VARZEA ALEGRE CE.                                                                                                                     ",0401,18/04/2016 a 29/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3033,JOSE FRANCISCO ALVES RODRIGUES,MARACANAU-CE,2016,"PAGAMENTO DE MEIAS DIARIAS AO SERVIDOR JOSE FRANCISCO ALVES RODRIGUES, PARA REALIZAR FISCALIZACOES EM PRODUTOS COM CONFORMIDADE AVALIADA, NO MUNICIPIO DE MARACANAU-CE, PROC. 220 2016, PCD 50.12, 50.14, 50.16, 50.18, 50.20                                  ",0414,14/03/2016 a 18/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"520,85"
3034,ELIZIOMAR ARAUJO DE CARVALHO,ARNEIROZ-CE,2016,DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE ARNEIROZ CE E TAUA CE.                                                                                                                                         ,0420,04/04/2016 a 15/04/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"2.500,08"
3035,ROBERTO CLAUDIO RODRIGUES BEZERRA,BRASILIA-DF,2014,VIAGEM A BRASILIA PARA PARTICIPAR DE REUNIAO COM OREPRESENTANTE NO BRASIL DO BANCO INTERAMERICANO-BID                                                                                                                                                          ,0434,21/08/2014 a 22/08/2014,Pago,11.101-GABINETE DO PREFEITO,"700,00"
3036,FRANCISCO VERICIO FILHO,SAO LUIS DO CURU-CE,2016,DIARIAS PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE SAO GONCALO DO AMARANTE CE E SAO LUIZ DO CURU CE.                                                                                                              ,0444,02/05/2016 a 06/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.041,70"
3037,EXPEDITO CARNEIRO DO NASCIMENTO,VICOSA DO CEARA-CE,2016,PARA REALIZAR VERIFICACOES E FISCALIZACOES EM INSTRUMENTOS DE MEDICAO EM VICOSA DO CEARA CE.                                                                                                                                                                   ,0449,02/05/2016 a 06/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"1.041,70"
3038,JOSE CARLOS MOREIRA,PACATUBA-CE,2016,"DIARIAS PARA REALIZAR FISCALIZACOES E VERIFICACOES EM INSTRUMENTOS DE MEDICAO, NOS MUNICIPIOS DE ITAITINGA CE E PACATUBA CE.                                                                                                                                   ",0457,09/05/2016 a 13/05/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"520,85"
3039,TATIANE CARNEIRO DE CASTRO,JOAO PESSOA-PB,2016,PARTICIPAR DO SEMINARIO SOBRE MEDIACAO E PRATICAS RESTAURATIVAS NA COMUNIDADE ESCOLAR.                                                                                                                                                                         ,0142,18/05/2016 a 20/05/2016,Pago,17.101-SECRETARIA MUNICIPAL DA SEGURANCA CIDADA,"1.140,00"
3040,MARIAN COSTA CAVALCANTE,CARNAUBAL-CE,2016,"COM O OBJETIVO DE ACOMPANHAR A ESCOLA E.M. MARIA ZELIA CORREIA DE SOUZA, REPRESENTANDO A SME, EM VISITA A ESCOLA PREMIADA DA CRDE 05: EEF HUMBERTO CASTELO BRANCO, CONTEMPLADA COM O PREMIO ESCOLA NOTA DEZ, NOS DIAS 08 06 2016 A 10 06 2016, EM CARNAUBAL CE ",2204,08/06/2016 a 10/06/2016,Pago,24.901-FUNDO MUNICIPAL DE EDUCACAO,"330,00"
3041,PAULO DE TARSO MELO LIMA,BRASILIA-DF,2016,REFERENTE PGTO DE DIARIAS DE SERVIDOR DE CURSO DE METODOLOGIAS DE ANALISES REALIZADO EM BRASILIA NOS DIAS 29 06 2016 A 01 07 2016 PARA ATENDER A ACFOR.                                                                                                        ,0182,29/06/2016 a 01/07/2016,Pago,"13.201-AUTARQUIA DE REGULACAO, FISCALIZACAO E CONTROLE DOS SERVICOS PUBLICOS DE SANEAMENTO AMBIENTAL","1.800,00"
3042,EXPEDITO CARNEIRO DO NASCIMENTO,FORQUILHA-CE,2016,"MEIAS DIARIAS PARA REALIZAR FISCALIZACOES  EM INSTRUMENTOS DE MEDICAO NOS MUNICIPIOS DE FORQUILHA CE, GROIRAS CE E MERUOCA CE.                                                                                                                                 ",0490,03/03/2016 a 04/03/2016,Pago,19.203-INSTITUTO DE PESOS E MEDIDAS,"208,34"
3043,OLINDA MARIA DOS SANTOS,BRASILIA-DF,2016,"02(DUAS) DIARIAS NA REGIAO II, PARA A SECRETARIA EXECUTIVA DA HABITAFOR, COM O OBJETIVO DE PARTICIPAR DA DEFESA DE EMPREENDIMENTO DO PMCMV, EM BRASILIA.                                                                                                       ",0151,15/06/2016 a 16/06/2016,Anulado,34.101-SECRETARIA MUNICIPAL DO DESENVOLVIMENTO HABITACIONAL DE FORTALEZA,"1.100,00"
3044,RENATA MARIA SINDEAUX CAMPELO MAIA,BRASILIA-DF,2016,"02(DUAS) DIARIAS NA REGIAO II, PARA ACOMPANHAR A SECRETARIA EXECUTIVA DA HABITAFOR, COM O OBJETIVO DE PARTICIPAR DA DEFESA DE EMPREENDIMENTO DO PMCMV, EM BRASILIA.                                                                                            ",0153,15/06/2016 a 16/06/2016,Pago,34.101-SECRETARIA MUNICIPAL DO DESENVOLVIMENTO HABITACIONAL DE FORTALEZA,"1.100,00"
3045,ANDRE LUIZ DAHER VASCONCELOS,BRASILIA-DF,2016,"PARTICIPAR DE REUNIOES CAF, AFD E SEIAN, NOS DIAS 15 E 16 DE JUNHO DE 2016.                                                                                                                                                                                    ",0643,14/06/2016 a 16/06/2016,Pago,27.101-SECRETARIA MUNICIPAL DA INFRAESTRUTURA,"1.440,00"
3046,PHILIPE THEOPHILO NOTTINGHAM,BRASILIA-DF,2014,PARTICIPAR DA REUNIAO EXTRAORDINARIA DO FORUM NACIONAL DE SECRETARIAS DE ADMINISTRACAO DAS CAPITAIS -FONAC.                                                                                                                                                    ,0708,27/08/2014 a 28/08/2014,Pago,"18.101-SECRETARIA MUNICIPAL DE PLANEJAMENTO, ORCAMENTO E GESTAO","1.100,00"
3047,JOSE LEITE JUCA FILHO,RECIFE-PE,2016,OBJETIVO DE REALIZAR VISITA AO TRF 5O REGIAO.                                                                                                                                                                                                                  ,0251,13/06/2016 a 14/06/2016,Pago,13.101-PROCURADORIA GERAL DO MUNICIPIO,"900,00"
3048,FABIANA SALES VITORIANO UCHOA,RECIFE-PE,2016,"REF A DIARIAS,ACRESCIDO DE UMA DIARIA DE DESLOCAMENTO ,EM FAVOR DE FABIANA SALES VITORIANO UCHOA,,ASSISTENTE TECNICO ADMINISTRATIVOII(DAS-1),PARA A PARTICIPACAO NO 23O SEMINARIO TECNICO-CIENTIFICO BRASIL-FRANCA E NO ENCONTRO TEMATICO DA AGENCIA NACIONAL V",5440,23/05/2016 a 25/05/2016,Pago,25.901-FUNDO MUNICIPAL DE SAUDE,"900,00"
3049,JAIME CAVALCANTE DE ALBUQUERQUE FILHO,BRASILIA-DF,2016,"COM O OBJETIVO DE PARTICIPAR DE REUNIAO TECNICA COM O PRESIDENTE DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO - FNDE, NO DIA 31 05 2016, EM BRASILIA DISTRITO FEDERA                                                                                       ",2500,30/05/2016 a 31/05/2016,Pago,24.901-FUNDO MUNICIPAL DE EDUCACAO,"1.100,00"
3050,FRANCISCO JOSE GOMES,CURITIBA-PR,2016,"REFERENTE A 03 (TRES) DIARIAS DA REGIAO II- FORTALEZA CURITIBA COM O OBJETIVO DE ACOMPANHAR E REPRESENTAR O SR. JURANDIR GURGEL GONDIM FILHO, PARTICIPAR DA 26O REUNIAO DA CAMARA TECNICA E ASSEMBLEIA GERAL ORDINARIA DA ABRASF, NOS DIAS 22 06 2016 E 23 06 2",0219,21/06/2016 a 23/06/2016,Pago,23.901-FUNDO DE INVESTIMENTO E DESENVOLVIMENTO DE ATIVIDADES DA ADMINISTRACAO FAZENDARIA,"1.650,00"
3051,VICENTE FERRER AUGUSTO GONCALVES,PORTO ALEGRE-RS,2016,PAGAMENTO DE  03 DIARIAS DA REGIAO II ( ACRESCIDO DE UMA DIARIA DE DESLOCAMENTO)  CONFORME ATO NO 460 2016-SEGOV PUBLICADO EM 15 06 2016 COM OBJETIVO DE PARTICIPAR DA 19O REUNIAO TECNICA DO CONSELHO NACIONAL DE CONTROLE INTERNO -CONACI NOS DIAS 16 06 2016,0133,15/06/2016 a 17/06/2016,Pago,14.101-CONTROLADORIA E OUVIDORIA GERAL DO MUNICIPIO,"1.650,00"
3052,LUCIANA DA SILVA DE OLIVEIRA BORGES,BEBERIBE-CE,2016,"COM OBJETIVO DE ACOMPANHAR A SRA. LUCIVANDA SERPA GOMES E PARTICIPAR DO PROGRAMA MAIS CAPACIDADES, NO PERIODO DE 06 062016 E 07 062016, E, BEBERIBE-CE, CONFORME ATO NO 411 2016, DOM 10 062016                                                                ",0222,06/06/2016 a 07/06/2016,Pago,23.901-FUNDO DE INVESTIMENTO E DESENVOLVIMENTO DE ATIVIDADES DA ADMINISTRACAO FAZENDARIA,"360,00"
3053,MARIA CONCEICAO SILVA CAVALCANTE,CAMPINAS-SP,2016,COM O OBJETIVO DE PARTICIPAR DE VISITA TECNICA A CRECHE MONTE CRISTO                                                                                                                                                                                           ,1443,24/04/2016 a 25/04/2016,Anulado,24.901-FUNDO MUNICIPAL DE EDUCACAO,"1.100,00"
3054,JAIME CAVALCANTE DE ALBUQUERQUE FILHO,CAMPINAS-SP,2016,"COM O OBJETIVO DE PARTICIPAR DE VISITA TECNICA A CRECHE MONTE CRISTO, NO DIA 25 04 2016.                                                                                                                                                                       ",1444,24/04/2016 a 25/04/2016,Pago,24.901-FUNDO MUNICIPAL DE EDUCACAO,"1.100,00"
3055,FERNANDO JOSE DA SILVEIRA MARINHO,SAO PAULO-SP,2016,PARTICIPAR DE REUNIAO NA SEDE DA TAM LINHAS AEREAS.                                                                                                                                                                                                            ,0150,09/03/2016 a 10/03/2016,Anulado,23.901-FUNDO DE INVESTIMENTO E DESENVOLVIMENTO DE ATIVIDADES DA ADMINISTRACAO FAZENDARIA,"1.100,00"
3056,MAGDA HELENA DE ARAUJO MAIA,SAO PAULO-SP,2016,"CONCESSAO DE 4 (QUATRO) DIARIAS DA REGIAO II (ACRESCIDO 1 (UMA) DIARIA DE DESLOCAMENTO, CONSOANTE O QUE ESTABELECE O ART. 3O DO  1O DO DECRETO NO. 13.251 DE 13.11.2013).                                                                                      ",0109,10/05/2016 a 13/05/2016,Pago,11.202-INSTITUTO DE PLANEJAMENTO DE FORTALEZA,"1.800,00"
